1,179669,8062
2,216095,4904
3,246110,7913
4,352424,4349
5,329786,9997
6,290388,2452
7,86793,1657
8,259108,1533
9,38558,4815
10,145261,4399
11,93689,8211
12,124281,3583
13,142824,1449
14,259434,2951
15,271715,8990
16,123415,3899
17,109411,8676
18,334587,3566
19,196277,7807
20,151013,7545
21,180836,1180
22,57684,1533
23,117431,1764
24,24933,8059
25,71330,4134
26,87953,8310
27,73662,7553
28,258539,5321
29,236481,1095
30,293501,811
31,21062,9057
32,115174,9296
33,83626,2902
34,360862,1700
35,307617,7406
36,199045,267
37,261986,3416
38,247223,1264
39,121215,9357
40,242029,6058
41,32482,6705
42,316080,2527
43,169393,361
44,38605,8835
45,146221,2556
46,222117,1073
47,253448,3191
48,253558,258
49,202594,8063
50,141866,3619
51,2540,1186
52,367035,3460
53,305080,1377
54,359965,5281
55,237611,4015
56,122938,3182
57,217639,6386
58,188920,1617
59,197989,4203
60,186992,2204
61,249203,3698
62,13549,2054
63,278509,1615
64,213935,1036
65,249432,7637
66,285265,1059
67,219877,9394
68,68430,9728
69,68610,8382
70,77393,9747
71,297633,1637
72,328669,8009
73,67670,6114
74,96569,9767
75,191520,776
76,50674,5114
77,269412,4472
78,223964,5514
79,123522,9893
80,289194,1486
81,359109,8550
82,266179,2993
83,173800,9138
84,252729,5583
85,138002,8855
86,4078,2394
87,307610,7674
88,141581,3611
89,280610,9328
90,72722,7167
91,172122,6272
92,367982,4442
93,101853,9518
94,106903,1607
95,69053,8404
96,170066,7223
97,4869,5650
98,154115,1397
99,259358,7121
100,7860,1247
